"g","a","fit","se","lower","upper"
"1.7","0",-3.47830627848556,0.0119476797265094,-3.50172408830898,-3.45488846866215
"2","0",-3.35633163138763,0.0118639596801279,-3.37958534741463,-3.33307791536062
"3","0",-2.72574773202973,0.0117446139490109,-2.74876752685208,-2.70272793720738
"1.7","0.998",-2.18992808321085,0.0172079518974549,-2.22365618391403,-2.15619998250767
"2","0.998",-2.25396628343021,0.0166651832229966,-2.28663054128796,-2.22130202557246
"3","0.998",-1.59152122637536,0.0155543455210848,-1.62200820909321,-1.56103424365752
