"nH","a","fit","se","lower","upper"
"0.1","0",-3.5023295458005,0.0129965808500342,-3.5278032332166,-3.4768558583844
"0.5","0",-3.40792355392,0.0130887790394499,-3.43357795254657,-3.38226915529342
"5","0",-2.90261171398929,0.0139979254033615,-2.93004806669726,-2.87517536128133
"10","0",-2.58884205047387,0.0150727864502292,-2.61838516300117,-2.55929893794657
"0.1","0.998",-2.4515561603879,0.0156842681103906,-2.48229779526899,-2.42081452550681
"0.5","0.998",-2.30089380015334,0.0166341396633219,-2.33349721170509,-2.2682903886016
"5","0.998",-1.60477080796932,0.0214847889452343,-1.64688163727949,-1.56265997865914
"10","0.998",-1.26023804358254,0.0258393721286958,-1.31088398625236,-1.20959210091271
