"g","r","fit","se","lower","upper"
"1.7","0.2",-2.68902749640578,0.016321555017057,-2.72101823269609,-2.65703676011547
"2","0.2",-2.4530743013071,0.0157835206515714,-2.48401047413925,-2.42213812847496
"3","0.2",-1.5879204955481,0.015067038144039,-1.61745234122323,-1.55838864987296
"1.7","0.5",-3.01197380762725,0.0166870632686785,-3.04468095102934,-2.97926666422516
"2","0.5",-3.10680160025815,0.0165069643672061,-3.13915574442352,-3.07444745609278
"3","0.5",-2.291947235535,0.0159871060963809,-2.3232824419317,-2.26061202913831
"1.7","0.9",-3.42692253542299,0.0170712321877903,-3.4603826614036,-3.39346240944238
"2","0.9",-3.41974165441199,0.0170775651438238,-3.45321419317596,-3.38626911564803
"3","0.9",-3.22694699345589,0.0169367293590597,-3.26014348986691,-3.19375049704487
