"g","e","fit","se","lower","upper"
"1.7","400",-2.55161177469717,0.0181673316351809,-2.58722028839775,-2.51600326099659
"2","400",-2.60580994195543,0.0177881445767015,-2.64067523767342,-2.57094464623744
"3","400",-1.99300374903336,0.0170104197554902,-2.02634468082673,-1.95966281724
"1.7","1000",-2.89212339454824,0.0168775851271311,-2.92520396649466,-2.85904282260181
"2","1000",-2.86056113706524,0.0165827402675245,-2.89306380426299,-2.8280584698675
"3","1000",-2.22853766192152,0.0160568969688053,-2.2600096605168,-2.19706566332623
"1.7","5000",-3.4873157683347,0.0154614010782922,-3.51762057716312,-3.45701095950629
"2","5000",-3.32731590434181,0.0152956020318671,-3.35729574207734,-3.29733606660627
"3","5000",-2.65530360227936,0.0149774758722689,-2.68465990322149,-2.62594730133723
