"T","r","fit","se","lower","upper"
"0.5","0.2",-1.67596237284439,0.0197920820820566,-1.71475544604492,-1.63716929964386
"0.7","0.2",-2.1281976110046,0.015318661316961,-2.15822264562902,-2.09817257638019
"1","0.2",-2.55976251920464,0.0139981421825555,-2.58719929680631,-2.53232574160297
"0.5","0.5",-2.08371109665396,0.0215454370938155,-2.12594079815038,-2.04148139515754
"0.7","0.5",-2.75889671579295,0.0161774549319972,-2.79060501160405,-2.72718841998186
"1","0.5",-3.1509303011231,0.0142266163054892,-3.17881489484329,-3.12304570740291
"0.5","0.9",-2.71375495616735,0.0229692230849494,-2.75877532081618,-2.66873459151851
"0.7","0.9",-3.28679921213011,0.016894785195048,-3.3199134967244,-3.25368492753582
"1","0.9",-3.71121685721929,0.0145426405446446,-3.73972086790592,-3.68271284653267
