"a","i","fit","se","lower","upper"
"0","0",-3.47836073540699,0.0114115655129051,-3.50072774532739,-3.45599372548658
"0.998","0",-2.04355546678098,0.0159647653379566,-2.07484688462257,-2.01226404893939
"0","60",-3.18984077984858,0.0116833409567936,-3.21274047777245,-3.1669410819247
"0.998","60",-2.02297568232776,0.0161455608521212,-2.0546214647878,-1.99132989986772
"0","80",-2.78941891107439,0.0125343765278807,-2.81398666418663,-2.76485115796215
"0.998","80",-1.92428548579522,0.0168293969494459,-1.95727160747125,-1.89129936411919
