"T","a","fit","se","lower","upper"
"0.5","0",-2.62728060921189,0.0137357964944627,-2.65420318141365,-2.60035803701013
"0.7","0",-3.10995175369859,0.0114855011691453,-3.1324636797179,-3.08743982767927
"1","0",-3.48308403242681,0.0110914784873686,-3.50482366219788,-3.46134440265573
"0.5","0.998",-1.22069470514987,0.0264683296856455,-1.27257342345419,-1.16881598684554
"0.7","0.998",-1.9308928840956,0.0164746268235378,-1.96318364570761,-1.8986021224836
"1","0.998",-2.42605929201187,0.0126117350723097,-2.45077867018631,-2.40133991383744
