"g","r","fit","se","lower","upper"
"1.7","0.2",-2.83440126001799,0.0170970308574218,-2.86791197734599,-2.80089054268999
"2","0.2",-2.54227031821826,0.0155400045423838,-2.57272921507809,-2.51181142135842
"3","0.2",-2.14429798096955,0.0151054940596688,-2.17390522363962,-2.11469073829949
"1.7","0.5",-3.26259131426335,0.016518217747333,-3.29496753972081,-3.23021508880588
"2","0.5",-3.13623799514286,0.0164138578386529,-3.16840967190241,-3.10406631838331
"3","0.5",-2.47078651943104,0.0161464794473207,-2.50243412614789,-2.4391389127142
"1.7","0.9",-3.44980694056795,0.0171722491331107,-3.48346508807815,-3.41614879305774
"2","0.9",-3.55788036044214,0.0171640958591119,-3.5915225272793,-3.52423819360499
"3","0.9",-3.05777685311108,0.0170970008728572,-3.09128751166839,-3.02426619455377
