"T","a","fit","se","lower","upper"
"0.5","0",-2.24039833033303,0.0139589940023804,-2.26775839689067,-2.2130382637754
"0.7","0",-3.55422744636497,0.0113690401282298,-3.57651112200461,-3.53194377072533
"1","0",-4.18984820757839,0.0111779803591626,-4.21175740007138,-4.1679390150854
"0.5","0.998",-0.180164718067309,0.0293811514756701,-0.237752697528951,-0.122576738605667
"0.7","0.998",-1.53041731180182,0.0164812218851996,-1.56272102420783,-1.4981135993958
"1","0.998",-2.42630161719277,0.0124522079637629,-2.45070833580157,-2.40189489858397
