"T","e","fit","se","lower","upper"
"0.5","400",-0.781448870005722,0.0286141627159928,-0.837533527414919,-0.725364212596525
"0.7","400",-1.94941488277047,0.0183951324850685,-1.9854699200491,-1.91335984549184
"1","400",-2.67985387983442,0.0148639153671416,-2.70898762068156,-2.65072013898729
"0.5","1500",-1.30953975523379,0.0229707277888833,-1.35456310298177,-1.26451640748581
"0.7","1500",-2.61764844846755,0.0160257903893288,-2.64905950084109,-2.58623739609401
"1","1500",-3.31558574721843,0.0141871983940556,-3.34339310154938,-3.28777839288749
"0.5","10000",-2.17835537604287,0.0183132325161818,-2.21424988681081,-2.14246086527492
"0.7","10000",-3.62642552647418,0.0144285791232558,-3.65470599461373,-3.59814505833464
"1","10000",-4.37526671819712,0.0138365470716565,-4.4023867849257,-4.34814665146854
