"g","a","fit","se","lower","upper"
"1.7","0",-3.8899956855088,0.0121923179701676,-3.9138930115696,-3.866098359448
"2","0",-3.71182115400329,0.0117880732678041,-3.73492614775416,-3.68871616025242
"3","0",-3.17314906289952,0.0117116969899882,-3.19610435674765,-3.15019376905139
"1.7","0.998",-1.83137217876842,0.0173382322122276,-1.86535565832557,-1.79738869921127
"2","0.998",-1.83612853950297,0.0166411137762852,-1.86874564503613,-1.80351143396981
"3","0.998",-1.35394612321009,0.0160066313337064,-1.38531962323302,-1.32257262318716
