"g","T","fit","se","lower","upper"
"1.7","0.5",-1.43102114686318,0.0229813517265873,-1.47606531786265,-1.38597697586371
"2","0.5",-1.45639067636353,0.0226564322523044,-1.50079799499093,-1.41198335773614
"3","0.5",-1.65105616092985,0.0217771912826292,-1.69374013964848,-1.60837218221122
"1.7","0.7",-3.05775287424736,0.0162715046800639,-3.08964553434618,-3.02586021414853
"2","0.7",-3.02608463224438,0.0159553138196943,-3.05735754832847,-2.99481171616029
"3","0.7",-2.47260128567556,0.0156778198803994,-2.50333030492532,-2.44187226642581
"1.7","1",-4.01503056065945,0.0149626584057713,-4.04435784096283,-3.98570328035607
"2","1",-3.77615860626331,0.0140738162224505,-3.8037437279777,-3.74857348454891
"3","1",-2.96993923010398,0.0139738083284388,-2.99732833320586,-2.9425501270021
