"T","r","fit","se","lower","upper"
"0.5","0.2",-1.35265546985847,0.0199224003830926,-1.3917040001735,-1.31360693954344
"0.7","0.2",-2.46225000416929,0.0151351891982123,-2.49191545024334,-2.43258455809525
"1","0.2",-3.02423216696247,0.0144316518302105,-3.05251865770412,-2.99594567622081
"0.5","0.5",-1.64880124067172,0.0226449315044524,-1.6931860174722,-1.60441646387124
"0.7","0.5",-2.80821833473683,0.0160543359270789,-2.83968533726069,-2.77675133221297
"1","0.5",-3.61921161331854,0.0139819794843401,-3.64661673214256,-3.59180649449452
"0.5","0.9",-1.56310141153679,0.024875907926935,-1.61185897217808,-1.51434385089549
"0.7","0.9",-3.32584433342578,0.0168918607959984,-3.35895291099104,-3.29273575586052
"1","0.9",-4.15439539539533,0.014279392849031,-4.18238345375294,-4.12640733703772
