"nH","a","fit","se","lower","upper"
"0.1","0",-3.77817663418458,0.0133502261153005,-3.8043434965682,-3.75200977180096
"0.5","0",-3.76514248402394,0.0134112703857264,-3.79142899509439,-3.73885597295349
"5","0",-3.47047568219592,0.0138006980572025,-3.49752548373051,-3.44342588066133
"10","0",-3.21779205427484,0.0142802108345957,-3.24578171590984,-3.18980239263984
"0.1","0.998",-1.95223732843201,0.0174955231516487,-1.98652910316936,-1.91794555369465
"0.5","0.998",-1.931754453889,0.017652084689573,-1.96635309415672,-1.89715581362127
"5","0.998",-1.53612709567666,0.019878703414445,-1.57508997856105,-1.49716421279227
"10","0.998",-1.11573512952574,0.0219767420098891,-1.1588102339357,-1.07266002511578
