"a","i","fit","se","lower","upper"
"0","0",-4.10487095933771,0.0114578567126605,-4.12732871827168,-4.08241320040374
"0.998","0",-1.72812128050177,0.0161383152598169,-1.75975288515475,-1.69648967584878
"0","60",-3.61615967391274,0.0116933297841843,-3.63907896746076,-3.59324038036471
"0.998","60",-1.69478632620103,0.0162942621180868,-1.72672359159296,-1.66284906080909
"0","80",-2.90565514455299,0.012571083116602,-2.93029486219404,-2.88101542691193
"0.998","80",-1.55956794845076,0.0170517201396696,-1.5929898553492,-1.52614604155231
