"a","e","fit","se","lower","upper"
"0","400",-2.68519071446343,0.0125637907119741,-2.70981613876243,-2.66056529016443
"0.998","400",-0.86920715774872,0.0209041584929395,-0.910179964786293,-0.828234350711148
"0","1500",-3.32397473676565,0.011808643835707,-3.34712004947553,-3.30082942405578
"0.998","1500",-1.4707306497501,0.0169481344590279,-1.5039495254619,-1.43751177403831
"0","10000",-4.38947940597509,0.0114406352697004,-4.41190341034011,-4.36705540161007
"0.998","10000",-2.36102912924684,0.0138523868299848,-2.38818024239911,-2.33387801609457
